name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Rising Tide Trust,270 Mare Street,Hackney,,Hackney,,1.00E+11,E09000012,Homerton,E05009376,51.54465,-0.05465,534992.9886,184654.6095
K-Town Studios,Unit 8 Regis Road,Kentish Town,,Camden,www.ktownstudios.co.uk,5185701,E09000007,Kentish Town South,E05013664,51.55074,-0.14521,528696.624,185168.6014
The Blue Studios,160 Dalston Lane,Hackney,,Hackney,www.thebluestudios.co.uk,No UPRN,E09000012,Hackney Central,E05009372,51.54813,-0.06594,534199.9531,185020.8168
Gunfactory Studios,Unit 2 2a,Barnabas Road,Hackney,Hackney,www.gunfactorystudios.com,10008340190,E09000012,Homerton,E05009376,51.54765955,-0.041052908,535926.7929,185014.4151
Vortex Jazz Club,11 Gillett Square,Hackney,,Hackney,www.vortexjazz.co.uk,10091818908,E09000012,Dalston,E05009370,51.54830363,-0.075068435,533566.5472,185023.4087
Islington Arts Factory,2 Parkhurst Road,Islington,,Islington,www.islingtonartsfactory.org,5300071066,E09000019,Holloway,E05013706,51.55322109,-0.121545172,530330.1805,185486.3625
Reel Rebels Music Studios,7a Bouverie Mews ,,,Hackney,"http://reelrebelsradio.com/studio-hire/
http://reelrebelsmusicstudios.weebly.com/",No UPRN,E09000012,Stoke Newington,E05009385,51.56269,-0.07832,533299.1157,186617.2648
Karma Studios Ltd.,7a Bouverie Mews,Hackney,,Hackney,,1.00E+11,E09000012,Stoke Newington,E05009385,51.56265,-0.07829,533301.3118,186612.8714
Storm Rehearsal Studios,Arches 6 & & 303 Holloway Road,,,Islington,www.stormrehearsalstudios.co.uk,5300047960,E09000019,Holloway,E05013706,51.55311,-0.11354,530885.4541,185488.3004
Audio Underground,121-123 Railway Arches,Beaumont Road,Waltham Forest,Waltham Forest,www.audiounderground.co.uk,10024418697,E09000031,Forest,E05013887,51.57134543,-0.010924385,537944.0351,187704.6499
Hermitage Works Studios,Hermitage Works 7,Vale Grove,,Haringey,www.hermitageworksstudios.com,1.00E+11,E09000014,Hermitage & Gardens,E05013591,51.57507,-0.09316,532234.6757,187966.9958
Bonafide Studio,14 The Viaduct,St. James Lane,,Haringey,www.bonafidestudio.co.uk,10003975672,E09000014,Muswell Hill,E05013594,51.58779933,-0.140634642,528909.0499,189297.791
Gillet Square Studios,Unit B7, 3 Bradbury St,,Hackney,http://www.gillettsquare.org.uk/home,No UPRN,E09000012,Dalston,E05009370,51.54866,-0.07584,533512.0111,185061.6283
Music Bank,"Unit 4, Chandos Park",Chandos Road,Old Oak Common,Ealing,http://www.musicbank.org/,12193729,E09000009,North Acton,E05013527,51.527647,-0.25534481,521122.3871,182412.7658
Panic Button Studios,30A Platts Eyot,Lower Sunbury Road,Hampton on Thames,Richmond upon Thames,https://panicbuttonstudios.com/contacts/,See notes,E09000027,Hampton,E05013778,51.40949,-0.37232,513300.466,169086.2128
Brockley Studios,53 Arabin Road,Brockley,,Lewisham,https://brockleystudios.co.uk/,1.00E+11,E09000023,Brockley,E05013716,51.460365,-0.036367204,536512.2235,175315.952
Volume Unlimited,1C Meadow Works ,,,Barnet,https://volume-unlimited.co.uk/volume-unlimited/,See notes,E09000003,Barnet Vale,E05013628,51.64315,-0.18372,525771.4223,195378.0736
Sensible Music Group,90-96 Brewery Road,,,Islington,https://www.sensible-music.co.uk/rehearsals,5300011689,E09000019,Caledonian,E05013700,51.544259,-0.12440899,530157.2117,184484.67
Brixton Hill Studios,"Unit 1, 126 Brixton Hill",,,Lambeth,https://brixtonhillstudios.com/,2.00E+11,E09000022,Brixton Acre Lane,E05014095,51.453056,-0.12096731,530656.2168,174348.938
Terminal Music Studios,"Unit 17, Bermondsey Trading Estate",Rotherhithe New Road,,Southwark,https://terminal.co.uk/,2.00E+11,E09000028,South Bermondsey,E05011116,51.489576,-0.05486124,535141.2016,178529.8804
Dalston Rehearsal Studio,73 Stoke Newington Rd,,,Hackney,https://dalstonrehearsalstudio.co.uk/,1.00E+11,E09000012,Shacklewell,E05009382,51.553605,-0.075124287,533547.1757,185612.8285
Rockbottom Music ,68-70 London Road,,,Croydon,https://www.rockbottommusic.co.uk/rehearsal-rooms/,1.00E+11,E09000008,Broad Green,E05011465,51.37949,-0.10389232,532054.2482,166198.9418
Creation Studios,Kentish Town Road and Royal College Street,London,,Camden,https://www.creationmusicstudios.com/,5110315,E09000007,Camden Town,E05013655,51.544672,-0.141309,528984.2265,184500.6937
Urchin Studios,"Unit 1, Stonemason's House",Hepscott Road,,Tower Hamlets,https://www.urchinstudios.co.uk/,6736494,E09000030,Bow East,E05009319,51.542873,-0.025130545,537045.0949,184511.7995
Ritz Music Studio,88 Sheen Rd,Richmond,,Richmond upon Thames,https://ritzmusic.co.uk/,1.00E+11,E09000027,South Richmond,E05013786,51.462014,-0.29647238,518439.4303,175047.0046
Soundbox Studios,"Unit 4, Pandora House",41-45 Lind Road,,Sutton,https://www.soundboxuk.com/,5870051407,E09000029,Sutton Central,E05013765,51.364904,-0.18623386,526364.256,164432.0958
Dance Attic,368 North End Road,,,Hammersmith and Fulham,https://www.danceattic.com,34069847,E09000013,Walham Green,E05013749,51.481158,-0.19952684,525121.3544,177336.8562
Academy Mews Studios,15 PRATT MEWS,,,Camden,https://www.city-academy.com/locations/academy-mews-studios,5088505,E09000007,Regent's Park,E05013668,51.537178,-0.14054726,529058.234,183668.6934
Battersea Arts Centre,Lavender Hill,,,Wandsworth,https://www.bac.org.uk/,121015942,E09000032,Shaftesbury & Queenstown,E05014019,51.465162,-0.16083884,527852.2738,175624.8274
West London Art Factory ,135 Dukes Road,,,Ealing,https://www.westlondonartfactory.com/,12187273,E09000009,North Acton,E05013527,51.523802,-0.28241924,519254.4214,181940.7752
Fitztrovia Community Centre,2 Foley Street,,,Westminster,https://www.fitzroviacommunitycentre.org/room-hire,10033619463,E09000033,West End,E05013808,51.520181,-0.13877482,529229.2517,181781.7326
St Edward's Church Mottingham,35 St Keverne Road,London,,Bromley,https://www.stedwardsmottingham.org.uk,1.00E+11,E09000006,Mottingham,E05014000,51.427296,0.047864414,542466.1875,171798.9511
St Andrew's Church,St Andrew's Road,Sidcup,,Bexley,www.sidcupsymphony.org.uk,10011847236,E09000004,Sidcup,E05011230,51.431743,0.12685978,547943.1937,172449.8907
Pirate Studios - Dalston ,42-56 Tottenham Road,,,Hackney,https://pirate.com/en/locations/london-dalston/,1.00E+11,E09000012,De Beauvoir,E05009371,51.545472,-0.078193369,533358.1575,184702.8162
Pirate Studios - Wembley ,278 Abbeydale Road,,,Brent,https://pirate.com/en/locations/london-wembley/,202137355,E09000005,Alperton,E05013496,51.538754,-0.28468273,519058.4006,183599.8174
Pirate Studios - Hackney ,13 Rothbury Road,,,Tower Hamlets,https://pirate.com/en/locations/london-hackney/,6722124,E09000030,Bow East,E05009319,51.54218,-0.026689225,536939.0958,184431.8234
Pirate Studios - Tottenham,2 Norman Rd,,,Haringey,https://pirate.com/en/locations/london-tottenham/,1.00E+11,E09000014,South Tottenham,E05013599,51.58254,-0.068431179,533926.2625,188842.7088
Fomo London,225 Camden Road ,,,Camden,https://www.fomo.london/studio,5079631,E09000007,Kentish Town South,E05013664,51.54868,-0.12982341,529769.2114,184966.6802
Mustard Seed Studio,Burford Road,Stratford,,Newham,https://domclarktrio.com/mustard-seed,10009017863,E09000025,Stratford,E05013924,51.537326,-0.000294467,538784.0945,183941.7319
Tiger Studios ,566 Cable St,Limehouse,,Tower Hamlets,https://tigerstudiolondon.co.uk/,See notes ,E09000030,Shadwell,E05009332,51.51148,-0.04271,535919.5715,180988.1048
Arcus Sounds,"Unit 7, The Arches",Cranberry Lane,,Newham,https://www.arcussounds.com/writing-rehearsal,10023994441,E09000025,Canning Town North,E05013906,51.522905,0.004796566,539181.0931,182347.7708
Chiswick Rehearsal Room,"Ground Floor, Wellington Place",Dolman Road,,Hounslow,https://www.chiswickrehearsalroom.com/,10001271748,E09000018,Chiswick Gunnersbury,E05013609,51.492923,-0.26349897,520648.4307,178537.9014
TACO! (Thamesmead Arts and Culture Office),Cygnet Sq,,,Bexley,https://taco.org.uk/Cygnet-Square,10094789589,E09000004,Thamesmead East,E05011232,51.49767,0.12293996,547458.0597,179772.9622
