name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Westpoint Studios ,GA 39 to 40 Westpoint Building,Warple Way,,Ealing,https://www.westpointstudio.com/ / https://milocostudios.com/studios/westpoint-studios/location/,12149843,E09000009,Southfield,E05013540,51.504359,-0.25549952,521173.4119,179822.8128
Fiction Studios ,22-24 Ely Place ,,,Camden,https://www.fictionstudioslondon.com/,5088228,E09000007,Holborn & Covent Garden,E05013662,51.518985,-0.10670948,531457.22,181705.794
Brixton recording Studios,"Unit 3, Fairfax House",Overton Rd,Brixton,Lambeth,https://www.brixtonrecordingstudios.com/,See notes ,E09000022,Brixton North,E05014096,51.46833,-0.11039,531347.2849,176066.3164
Iguana Studio,Unit 1 88a Acre Lane,Brixton,,Lambeth,http://www.iguanastudio.co.uk/,10000444825,E09000022,Brixton Acre Lane,E05014095,51.459976,-0.12241052,530536.2222,175115.8697
Premises Studios,209 Hackney Road,,,Hackney,https://www.premisesstudios.com/,1.00E+11,E09000012,Haggerston,E05009375,51.531228,-0.07162765,533855.1561,183130.8279
Nomad Studios,153 Dukes Rd,,,Ealing,https://nomadmusicstudio.com/,12096649,E09000009,North Acton,E05013527,51.525619,-0.28302844,519207.4177,182141.8412
Audiohaus," Unit 24, Wembley Stadium Business Park",,,Brent,http://www.audiohaus.co.uk/,202001610,E09000005,Wembley Park,E05013516,51.56106,-0.27276369,519826.3817,186099.7708
Allegiance Music Group,"Unit 11, 186 Brent Crescent ",,,Ealing,https://www.allegiancemusicgroup.com/,12093451,E09000009,Hanger Hill,E05013524,51.535098,-0.29112113,518621.4092,183182.8136
Krafthouse Recording Studio,7-11 Minerva Road,Park Royal,,Ealing,http://www.krafthouse.co.uk/,See notes ,E09000009,North Acton,E05013527,51.52946,-0.26138,520698.9672,182604.4173
Lightship 95 Recording Studio,Lightship 95,Trinity Buoy Wharf,64 Orchard place,Tower Hamlets,https://www.lightship95.com/,See notes ,E09000030,Blackwall & Cubitt Town,E05009318,51.50789,0.009,539518.5569,180686.159
Kore Studios ,Unit 15 Allied Way,Warple Way,,Ealing,https://www.kore-studios.com/,12013164,E09000009,Southfield,E05013540,51.505455,-0.25541445,521176.4096,179944.8317
The Recording Studio London,Way Out Studios Building ,86 Copenhagen Place ,,Tower Hamlets,https://therecordingstudio.london/,6362101,E09000030,Mile End,E05009327,51.514573,-0.029914787,536798.1284,181355.8632
The Park Studios (London) ,"Unit 2, Towers Business Park",Carey Way,,Brent,https://www.theparkstudios.com/,202036652,E09000005,Wembley Park,E05013516,51.556154,-0.27121849,519946.3809,185556.7309
